책 이름,판매 지수,평점,가격,리뷰 수,총페이지,무게,크기,카테고리,발매날짜,링크
비욘드 더 스토리 BEYOND THE STORY   ,509640.0,,31500.0,,524.0,1500.0,167*230*35mm,예술,2023-07-09,https://www.yes24.com//Product/Goods/119578103
세이노의 가르침,1625244.0,9.2,6480.0,188.0,736.0,1030.0,153*224*40mm,자기계발,2023-03-02,https://www.yes24.com//Product/Goods/117014613
역행자 확장판,230646.0,9.7,17550.0,58.0,400.0,,142*195*30mm,자기계발,2023-05-29,https://www.yes24.com//Product/Goods/119120517
문과 남자의 과학 공부,68940.0,10.0,15750.0,1.0,304.0,,135*210*30mm,인문,2023-06-23,https://www.yes24.com//Product/Goods/119608737
모든 삶은 흐른다,276834.0,9.6,15120.0,39.0,240.0,330.0,128*188*20mm,인문,2023-04-03,https://www.yes24.com//Product/Goods/118104953
도둑맞은 집중력,166038.0,9.6,16920.0,29.0,464.0,574.0,135*215*23mm,인문,2023-04-28,https://www.yes24.com//Product/Goods/118579613
사장학개론,325110.0,9.6,22500.0,38.0,438.0,588.0,148*210*26mm,경제 경영,2023-04-19,https://www.yes24.com//Product/Goods/117958120
유연함의 힘,166572.0,,19800.0,,448.0,652.0,152*225*22mm,자기계발,2023-05-10,https://www.yes24.com//Product/Goods/118755548
흔한남매의 흔한 호기심 9,69432.0,9.8,12600.0,6.0,164.0,432.0,188*257*20mm,어린이,2023-06-08,https://www.yes24.com//Product/Goods/119458572
메리골드 마음 세탁소,254724.0,9.5,13500.0,47.0,272.0,352.0,135*200*20mm,소설/시/희곡,2023-03-06,https://www.yes24.com//Product/Goods/117716170
내면소통,229983.0,9.6,29700.0,23.0,763.0,1212.0,162*235*37mm,인문,2023-02-27,https://www.yes24.com//Product/Goods/117643865
나는 어떻게 삶의 해답을 찾는가,37890.0,10.0,16020.0,1.0,264.0,408.0,148*220*17mm,자기계발,2023-06-15,https://www.yes24.com//Product/Goods/119627529
원씽 THE ONE THING,505938.0,9.1,12600.0,222.0,280.0,462.0,148*210*20mm,자기계발,2013-08-30,https://www.yes24.com//Product/Goods/9349031
"있는 공간, 없는 공간",38418.0,9.8,16200.0,41.0,228.0,496.0,145*220*17mm,경제 경영,2023-06-20,https://www.yes24.com//Product/Goods/119420884
설민석의 한국사 대모험 25,126891.0,10.0,11700.0,73.0,184.0,504.0,188*257*11mm,어린이,2023-05-29,https://www.yes24.com//Product/Goods/119178012
김미경의 마흔 수업,475095.0,9.8,16200.0,197.0,300.0,476.0,145*210*17mm,자기계발,2023-02-15,https://www.yes24.com//Product/Goods/117188090
돈의 속성 300쇄 리커버,333234.0,9.3,16020.0,354.0,415.0,502.0,152*215*30mm,경제 경영,2020-06-15,https://www.yes24.com//Product/Goods/90428162
내가 가진 것을 세상이 원하게 하라,129150.0,9.5,15750.0,82.0,344.0,522.0,140*210*21mm,자기계발,2023-04-19,https://www.yes24.com//Product/Goods/118429999
스토너,59685.0,9.1,11700.0,113.0,396.0,433.0,140*209*20mm,소설/시/희곡,2015-01-02,https://www.yes24.com//Product/Goods/15718330
만화 데뷔 못 하면 죽는 병 걸림 1 한정판,35850.0,,44100.0,,320.0,,150*210*30mm,만화/라이트노벨,2023-08-25,https://www.yes24.com//Product/Goods/119579787
유현준의 인문 건축 기행,86307.0,9.8,17550.0,29.0,492.0,700.0,150*220*30mm,인문,2023-05-30,https://www.yes24.com//Product/Goods/119014992
하늘과 바람과 별과 인간,123048.0,9.8,16020.0,5.0,404.0,644.0,152*225*26mm,자연과학,2023-05-26,https://www.yes24.com//Product/Goods/118680704
ETS 토익 정기시험 기출문제집 1000 Vol.3 READING 리딩 ,437820.0,9.8,16020.0,101.0,540.0,1372.0,210*280*23mm,국어 외국어 사전,2021-12-13,https://www.yes24.com//Product/Goods/105384881
아주 사적인 여행,33630.0,10.0,15120.0,2.0,280.0,346.0,128*188*20mm,에세이,2023-06-21,https://www.yes24.com//Product/Goods/119578328
